Sorts compare
Quick Sort
N;Time 1;Time 2;Time 3;Time 4;Time 5;Time 6;Time 7;Time 8;Time 9;Time 10;
2;0,000004;0,000002;0,000005;0,000002;0,000003;0,000004;0,000003;0,000004;0,000004;0,000003;
4;0,000004;0,000004;0,000004;0,000003;0,000003;0,000004;0,000004;0,000004;0,000004;0,000003;
8;0,000004;0,000004;0,000005;0,000005;0,000004;0,000005;0,000004;0,000004;0,000005;0,000004;
16;0,000006;0,000006;0,000005;0,000006;0,000006;0,000006;0,000006;0,000006;0,000005;0,000005;
32;0,000009;0,000009;0,000009;0,000008;0,000009;0,000009;0,000009;0,000008;0,000008;0,000051;
64;0,000016;0,000015;0,000015;0,000015;0,000014;0,000015;0,000015;0,000014;0,000016;0,000015;
128;0,000029;0,000029;0,000029;0,000029;0,000028;0,000028;0,000029;0,000029;0,000029;0,000029;
256;0,000059;0,000058;0,000060;0,000071;0,000058;0,000059;0,000060;0,000059;0,000058;0,000060;
512;0,000129;0,000127;0,000126;0,000127;0,000125;0,000124;0,000126;0,000129;0,000125;0,000124;
1024;0,000265;0,000265;0,000267;0,000276;0,000277;0,000267;0,000263;0,000272;0,000262;0,000251;
2048;0,000260;0,000260;0,000259;0,000261;0,000257;0,000262;0,000260;0,000256;0,000254;0,000259;
4096;0,000547;0,000553;0,000551;0,000555;0,000551;0,000550;0,000563;0,000560;0,000571;0,000563;
8192;0,001191;0,001155;0,001177;0,001171;0,001175;0,001185;0,001186;0,001185;0,001181;0,001189;
16384;0,002490;0,002466;0,002475;0,002473;0,002542;0,002455;0,002536;0,002490;0,002544;0,002544;
32768;0,005042;0,005267;0,005276;0,005177;0,005083;0,005242;0,005216;0,005186;0,005102;0,005148;
65536;0,011005;0,010956;0,011197;0,010783;0,010894;0,010873;0,011298;0,010888;0,010772;0,010718;
131072;0,023384;0,023207;0,022613;0,022635;0,023034;0,023241;0,022891;0,023994;0,022465;0,023379;
262144;0,047895;0,049470;0,048527;0,051013;0,050564;0,048447;0,049479;0,047581;0,049238;0,050019;
524288;0,106505;0,104347;0,104987;0,105616;0,108142;0,105991;0,104948;0,104277;0,106202;0,103526;
1048576;0,224953;0,221609;0,221563;0,222495;0,224777;0,224101;0,221395;0,223571;0,222526;0,221532;
Merge Sort
N;Time 1;Time 2;Time 3;Time 4;Time 5;Time 6;Time 7;Time 8;Time 9;Time 10;
2;0,000003;0,000002;0,000003;0,000002;0,000002;0,000002;0,000002;0,000001;0,000002;0,000001;
4;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;
8;0,000003;0,000002;0,000002;0,000003;0,000003;0,000003;0,000003;0,000002;0,000002;0,000002;
16;0,000004;0,000003;0,000004;0,000004;0,000003;0,000003;0,000003;0,000003;0,000003;0,000004;
32;0,000006;0,000006;0,000006;0,000006;0,000006;0,000006;0,000006;0,000006;0,000005;0,000006;
64;0,000011;0,000011;0,000011;0,000011;0,000010;0,000011;0,000011;0,000011;0,000011;0,000010;
128;0,000022;0,000021;0,000022;0,000021;0,000021;0,000021;0,000022;0,000021;0,000021;0,000021;
256;0,000045;0,000044;0,000045;0,000045;0,000045;0,000045;0,000045;0,000044;0,000044;0,000045;
512;0,000095;0,000094;0,000103;0,000095;0,000094;0,000095;0,000094;0,000094;0,000096;0,000095;
1024;0,000205;0,000204;0,000205;0,000203;0,000204;0,000203;0,000204;0,000204;0,000204;0,000203;
2048;0,000440;0,000433;0,000435;0,000435;0,000434;0,000434;0,000435;0,000436;0,000434;0,000441;
4096;0,000946;0,000934;0,000946;0,000957;0,000943;0,000941;0,000940;0,000952;0,000942;0,000943;
8192;0,002032;0,002099;0,002011;0,002004;0,001977;0,001997;0,001984;0,001988;0,001981;0,001988;
16384;0,004265;0,004219;0,004233;0,004245;0,004222;0,004276;0,004367;0,004313;0,004314;0,004360;
32768;0,009074;0,008969;0,009104;0,009197;0,009241;0,009293;0,009557;0,009714;0,009495;0,009503;
65536;0,019161;0,019420;0,019447;0,020347;0,019676;0,019643;0,019659;0,019907;0,019972;0,019644;
131072;0,040877;0,042963;0,041643;0,042242;0,040734;0,042228;0,041501;0,042137;0,042829;0,043047;
262144;0,088420;0,088912;0,090433;0,088262;0,089061;0,089690;0,094221;0,094167;0,094188;0,092746;
524288;0,202073;0,183421;0,175861;0,182603;0,182433;0,184810;0,183959;0,191664;0,188227;0,187448;
1048576;0,390086;0,388395;0,382676;0,388427;0,386679;0,409427;0,395999;0,389328;0,398126;0,379636;
Buble Sort
N;Time 1;Time 2;Time 3;Time 4;Time 5;Time 6;Time 7;Time 8;Time 9;Time 10;
2;0,000002;0,000001;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;
4;0,000002;0,000002;0,000001;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;
8;0,000002;0,000002;0,000002;0,000002;0,000002;0,000002;0,000003;0,000002;0,000002;0,000002;
16;0,000003;0,000003;0,000004;0,000003;0,000003;0,000003;0,000003;0,000003;0,000003;0,000003;
32;0,000007;0,000007;0,000007;0,000007;0,000007;0,000006;0,000007;0,000007;0,000007;0,000007;
64;0,000021;0,000020;0,000020;0,000021;0,000020;0,000022;0,000022;0,000021;0,000021;0,000021;
128;0,000070;0,000075;0,000074;0,000072;0,000071;0,000071;0,000074;0,000073;0,000073;0,000071;
256;0,000271;0,000265;0,000278;0,000287;0,000279;0,000269;0,000265;0,000271;0,000264;0,000270;
512;0,001025;0,001053;0,001050;0,001046;0,001001;0,001031;0,001031;0,001060;0,001032;0,001062;
1024;0,004183;0,004315;0,004377;0,004435;0,004492;0,004402;0,004403;0,004390;0,004478;0,004362;
2048;0,018182;0,018238;0,017525;0,017619;0,017705;0,017802;0,017267;0,017699;0,018087;0,017827;
4096;0,073699;0,074883;0,074356;0,074112;0,076045;0,074421;0,074067;0,075053;0,075588;0,074849;
8192;0,321430;0,319704;0,316436;0,318051;0,317941;0,320455;0,328375;0,323258;0,321743;0,322866;
