Sorts compare
Quick Sort
N;Time 1;Time 2;Time 3;Time 4;Time 5;Time 6;Time 7;Time 8;Time 9;Time 10;
2;0.000003;0.000003;0.000003;0.000003;0.000002;0.000003;0.000003;0.000003;0.000002;0.000003;
4;0.000003;0.000002;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;
8;0.000003;0.000003;0.000003;0.000003;0.000003;0.000004;0.000003;0.000003;0.000003;0.000003;
16;0.000004;0.000004;0.000004;0.000004;0.000005;0.000005;0.000005;0.000004;0.000004;0.000004;
32;0.000007;0.000006;0.000007;0.000007;0.000006;0.000006;0.000006;0.000006;0.000007;0.000007;
64;0.000012;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011;
128;0.000052;0.000018;0.000017;0.000016;0.000017;0.000016;0.000013;0.000014;0.000014;0.000013;
256;0.000027;0.000027;0.000026;0.000027;0.000026;0.000027;0.000028;0.000027;0.000028;0.000027;
512;0.000058;0.000060;0.000058;0.000056;0.000066;0.000059;0.000058;0.000057;0.000063;0.000058;
1024;0.000122;0.000122;0.000123;0.000122;0.000125;0.000124;0.000122;0.000125;0.000123;0.000123;
2048;0.000347;0.000260;0.000274;0.000261;0.000268;0.000265;0.000263;0.000262;0.000262;0.000264;
4096;0.000562;0.000548;0.000556;0.000562;0.000544;0.000561;0.000548;0.000558;0.000554;0.000560;
8192;0.001196;0.001208;0.001193;0.001198;0.001193;0.001196;0.001190;0.001202;0.001199;0.001182;
16384;0.002485;0.002529;0.002533;0.002507;0.002430;0.002550;0.002587;0.002548;0.002536;0.002516;
32768;0.005168;0.005203;0.005333;0.005227;0.005029;0.005034;0.005211;0.005261;0.005118;0.005257;
65536;0.010808;0.011446;0.010971;0.011088;0.011300;0.011095;0.010715;0.010947;0.010721;0.011369;
131072;0.023808;0.023021;0.022991;0.022842;0.022872;0.023305;0.025098;0.022935;0.023088;0.022984;
262144;0.049094;0.049662;0.049692;0.049158;0.049164;0.049100;0.048902;0.051004;0.049075;0.049233;
524288;0.104854;0.103366;0.106912;0.105729;0.103409;0.104035;0.104701;0.101743;0.102724;0.104029;
1048576;0.218762;0.214800;0.221124;0.216863;0.223470;0.218657;0.224649;0.221520;0.214599;0.217206;
Merge Sort
N;Time 1;Time 2;Time 3;Time 4;Time 5;Time 6;Time 7;Time 8;Time 9;Time 10;
2;0.000003;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;
4;0.000002;0.000002;0.000003;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;
8;0.000003;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000003;0.000003;0.000003;
16;0.000004;0.000004;0.000004;0.000003;0.000003;0.000004;0.000004;0.000004;0.000003;0.000003;
32;0.000006;0.000006;0.000006;0.000006;0.000005;0.000006;0.000006;0.000006;0.000006;0.000006;
64;0.000011;0.000010;0.000011;0.000011;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010;
128;0.000022;0.000021;0.000021;0.000022;0.000021;0.000021;0.000022;0.000022;0.000021;0.000021;
256;0.000045;0.000045;0.000044;0.000044;0.000044;0.000044;0.000044;0.000045;0.000045;0.000045;
512;0.000095;0.000095;0.000095;0.000094;0.000095;0.000094;0.000095;0.000095;0.000095;0.000094;
1024;0.000204;0.000203;0.000203;0.000211;0.000203;0.000203;0.000202;0.000203;0.000203;0.000204;
2048;0.000435;0.000435;0.000433;0.000433;0.000439;0.000435;0.000433;0.000433;0.000433;0.000434;
4096;0.000954;0.000929;0.000929;0.000943;0.000929;0.000928;0.000927;0.000927;0.000931;0.000934;
8192;0.002005;0.001972;0.001983;0.001983;0.001985;0.001981;0.001980;0.001975;0.001982;0.001974;
16384;0.004251;0.004183;0.004189;0.004196;0.004196;0.004133;0.004080;0.004084;0.004124;0.004131;
32768;0.008779;0.008785;0.009025;0.008730;0.008741;0.008771;0.008897;0.008901;0.008871;0.009359;
65536;0.019281;0.018818;0.018819;0.018691;0.019432;0.019863;0.019711;0.019199;0.018998;0.018876;
131072;0.044840;0.044755;0.045323;0.043489;0.043067;0.043460;0.043605;0.042059;0.040046;0.041019;
262144;0.086818;0.085522;0.084737;0.086008;0.084724;0.084981;0.085162;0.083904;0.086093;0.085094;
524288;0.186425;0.184877;0.185997;0.185477;0.186711;0.194019;0.195376;0.191890;0.194853;0.194604;
1048576;0.374422;0.367999;0.379339;0.383392;0.386693;0.391112;0.388378;0.392700;0.406719;0.375482;
Buble Sort
N;Time 1;Time 2;Time 3;Time 4;Time 5;Time 6;Time 7;Time 8;Time 9;Time 10;
2;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000001;0.000001;0.000002;0.000001;
4;0.000001;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;
8;0.000002;0.000003;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;
16;0.000003;0.000003;0.000003;0.000004;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;
32;0.000007;0.000007;0.000007;0.000007;0.000007;0.000008;0.000007;0.000007;0.000007;0.000007;
64;0.000021;0.000021;0.000021;0.000021;0.000022;0.000021;0.000021;0.000021;0.000021;0.000021;
128;0.000075;0.000071;0.000072;0.000073;0.000075;0.000072;0.000071;0.000071;0.000075;0.000079;
