Sorts compare
Merge Sort. 2 parts
N;Time 1;Time 2;Time 3;Time 4;Time 5;Time 6;Time 7;Time 8;Time 9;Time 10;
2;0.000004;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000003;0.000002;
4;0.000002;0.000002;0.000002;0.000003;0.000002;0.000003;0.000002;0.000002;0.000003;0.000002;
8;0.000003;0.000003;0.000003;0.000003;0.000003;0.000002;0.000003;0.000003;0.000002;0.000002;
16;0.000004;0.000003;0.000004;0.000003;0.000004;0.000004;0.000004;0.000003;0.000003;0.000004;
32;0.000007;0.000007;0.000006;0.000006;0.000007;0.000006;0.000007;0.000006;0.000006;0.000007;
64;0.000016;0.000017;0.000016;0.000018;0.000016;0.000017;0.000017;0.000017;0.000016;0.000016;
128;0.000054;0.000054;0.000053;0.000053;0.000052;0.000052;0.000053;0.000053;0.000054;0.000051;
256;0.000181;0.000184;0.000186;0.000186;0.000185;0.000168;0.000168;0.000161;0.000169;0.000167;
512;0.000673;0.000624;0.000703;0.000615;0.000596;0.000545;0.000552;0.000627;0.000551;0.000556;
1024;0.002189;0.002097;0.002129;0.002115;0.002102;0.002119;0.002128;0.002114;0.002093;0.002050;
2048;0.008170;0.008252;0.008183;0.008135;0.008120;0.008378;0.008520;0.008512;0.008311;0.008319;
4096;0.034185;0.034139;0.033749;0.034442;0.034258;0.034128;0.033674;0.033743;0.034245;0.034195;
8192;0.148848;0.146132;0.147015;0.146679;0.146334;0.144637;0.147177;0.150517;0.152175;0.152469;
16384;0.618082;0.619423;0.652242;0.660598;0.647058;0.674751;0.628994;0.621753;0.618210;0.623366;
32768;2.627889;2.613872;2.675653;2.662753;2.686403;2.684274;2.609374;2.555308;2.688520;2.686210;
65536;10.875300;10.885715;10.870003;10.833347;10.849369;10.878761;10.842570;10.870074;10.823625;10.835093;
131072;43.673560;43.580500;43.656520;43.684810;44.282442;44.642962;43.794174;43.694032;44.493616;43.656506;
262144;176.124747;175.661127;176.714116;
